Sl no,Comment,Comment_Tokens
62,draco nobody understands whats coming out your mouth u got jakes meat to deep in it ,"['draco', 'nobody', 'understands', 'whats', 'coming', 'mouth', 'u', 'got', 'jakes', 'meat', 'deep']"
63,jake paul you know your scerd of him just shut up man nobody likes you we all like mike bro you so stupid man mike is soooo much better,"['jake', 'paul', 'know', 'scerd', 'shut', 'man', 'nobody', 'likes', 'like', 'mike', 'bro', 'stupid', 'man', 'mike', 'soooo', 'much', 'better']"
64,allah,['allah']
65,youngman i dont fw jake you prolly subscribed to his youtube why u talking on da internet like him i do what iron mike does put people to sleep like ik confidently ill do yo ass like dat internet ass niggaz these days ,"['youngman', 'dont', 'fw', 'jake', 'prolly', 'subscribed', 'youtube', 'u', 'talking', 'da', 'internet', 'like', 'iron', 'mike', 'put', 'people', 'sleep', 'like', 'ik', 'confidently', 'ill', 'yo', 'ass', 'like', 'dat', 'internet', 'ass', 'niggaz', 'days']"
66,draco brother im outside right now with family enjoying life while ur there hyping urself up in the mirror relax lil man,"['draco', 'brother', 'im', 'outside', 'right', 'family', 'enjoying', 'life', 'ur', 'hyping', 'urself', 'mirror', 'relax', 'lil', 'man']"
67,youngman then do dat instead of saying mike dont have it no more when we both know he can knock yo whole bloodline out if u chilling wit family do they know dat yo ass casual asf like dat comment u made a out mike tyson wtf,"['youngman', 'dat', 'instead', 'saying', 'mike', 'dont', 'know', 'knock', 'yo', 'whole', 'bloodline', 'u', 'chilling', 'wit', 'family', 'know', 'dat', 'yo', 'ass', 'casual', 'asf', 'like', 'dat', 'comment', 'u', 'made', 'mike', 'tyson', 'wtf']"
68,damn mike giving jake sleepless night even b d fight,"['damn', 'mike', 'giving', 'jake', 'sleepless', 'night', 'even', 'b', 'fight']"
69,draco hes boutta be  he aint the same guy thats js the truth learn to handle that ,"['draco', 'hes', 'boutta', 'aint', 'guy', 'thats', 'js', 'truth', 'learn', 'handle']"
70,youngman be real wit yo self tho boy everyone in these comments know mike tyson would whoop yo whole bloodline at  years old smh,"['youngman', 'real', 'wit', 'yo', 'self', 'tho', 'boy', 'everyone', 'comments', 'know', 'mike', 'tyson', 'would', 'whoop', 'yo', 'whole', 'bloodline', 'years', 'old', 'smh']"
71,draco ayt thats chill never said i could beat him ,"['draco', 'ayt', 'thats', 'chill', 'never', 'said', 'could', 'beat']"
72,youngman then look at his training videos who tf is moving and swinging hands like dat at  damn near  be real,"['youngman', 'look', 'training', 'videos', 'tf', 'moving', 'swinging', 'hands', 'like', 'dat', 'damn', 'near', 'real']"
73,then you get your ass handed to you mikey,"['get', 'ass', 'handed', 'mikey']"
74,No Comment,"['No', 'Comment']"
75,miketyson if you lose ill be homeless so please dont let me down lmao,"['miketyson', 'lose', 'ill', 'homeless', 'please', 'dont', 'let', 'lmao']"
76,but where does one cop this shirt ,"['one', 'cop', 'shirt']"
77,over  plans and never quitting on one until its done or not worth the time,"['plans', 'never', 'quitting', 'one', 'done', 'worth', 'time']"
78,if you listen to tysons words he said i know jake is coming to hurt me but i have a surprise for himhe wont leave that ring looking like when he walked in thats your answer who will win,"['listen', 'tysons', 'words', 'said', 'know', 'jake', 'coming', 'hurt', 'surprise', 'himhe', 'wont', 'leave', 'ring', 'looking', 'like', 'walked', 'thats', 'answer', 'win']"
79,love you mike,"['love', 'mike']"
80,,[]
81,jakepaul nigga,"['jakepaul', 'nigga']"
82,no comment,['comment']
83,jakepaul dont you dare try to come with the liver shots i already know your dirt gr whyte hype why do you want to fight a  year old former heavyweight champion of the world yall better not attempt at embarrassing him and think it will go well it wont you are not going to jackjohnson miketyson,"['jakepaul', 'dont', 'dare', 'try', 'come', 'liver', 'shots', 'already', 'know', 'dirt', 'gr', 'whyte', 'hype', 'want', 'fight', 'year', 'old', 'former', 'heavyweight', 'champion', 'world', 'yall', 'better', 'attempt', 'embarrassing', 'think', 'go', 'well', 'wont', 'going', 'jackjohnson', 'miketyson']"
84,No Comment,"['No', 'Comment']"
85,you like problem why,"['like', 'problem']"
86,No Comment,"['No', 'Comment']"
87,No Comment,"['No', 'Comment']"
88,No Comment,"['No', 'Comment']"
89,No Comment,"['No', 'Comment']"
90,jakepaul ur ego aint go save u this time buddy,"['jakepaul', 'ur', 'ego', 'aint', 'go', 'save', 'u', 'time', 'buddy']"
91,jakepaul ngl this was an epic response,"['jakepaul', 'ngl', 'epic', 'response']"
92,his head might not as durable either as much as i would like a humbling to happen i am worried and pray mike takes no serious damage to his nogging,"['head', 'might', 'durable', 'either', 'much', 'would', 'like', 'humbling', 'happen', 'worried', 'pray', 'mike', 'takes', 'serious', 'damage', 'nogging']"
93,jakepaul whatever it may be itll go out the window when miketyson belts you one ,"['jakepaul', 'whatever', 'may', 'itll', 'go', 'window', 'miketyson', 'belts', 'one']"
94,No Comment,"['No', 'Comment']"
95,maketyson ,['maketyson']
96,cool,['cool']
97,iron mike  still throwing bombs  ,"['iron', 'mike', 'still', 'throwing', 'bombs']"
98,No Comment,"['No', 'Comment']"
99,no comment,['comment']
100,sir tyson if you are brother of muhammad ali then the son jake paul,"['sir', 'tyson', 'brother', 'muhammad', 'ali', 'son', 'jake', 'paul']"
101,nicholasmaio you do realize trump called soldiers losers and prisoners of war weak,"['nicholasmaio', 'realize', 'trump', 'called', 'soldiers', 'losers', 'prisoners', 'war', 'weak']"
102,bleach wouldve been safer,"['bleach', 'wouldve', 'safer']"
103,No Comment,"['No', 'Comment']"
104,i dont even like trump but he didnt say that he said something along the lines of maybe theres something we can do with disinfectant through injection its so strange people feel the need to exaggerate this the guy say stupid things all the time by changing his words you just give his supporters something to argue with now they can say go back and listen he didnt even use the word bleach and youll look like the stupid one,"['dont', 'even', 'like', 'trump', 'didnt', 'say', 'said', 'something', 'along', 'lines', 'maybe', 'theres', 'something', 'disinfectant', 'injection', 'strange', 'people', 'feel', 'need', 'exaggerate', 'guy', 'say', 'stupid', 'things', 'time', 'changing', 'words', 'give', 'supporters', 'something', 'argue', 'say', 'go', 'back', 'listen', 'didnt', 'even', 'use', 'word', 'bleach', 'youll', 'look', 'like', 'stupid', 'one']"
105,isaiahtheeprophet bot account,"['isaiahtheeprophet', 'bot', 'account']"
106,onederekson theres a whole list of families who were forced from their homes for colonizers to take them away maybe try looking that up like a grown adult its not on my to research every question you have just for you to have another one do something for yourself for once and look it up and dont come at me with the burden is on me bullshit either bc you were here making batshit claims first,"['onederekson', 'theres', 'whole', 'list', 'families', 'forced', 'homes', 'colonizers', 'take', 'away', 'maybe', 'try', 'looking', 'like', 'grown', 'adult', 'research', 'every', 'question', 'another', 'one', 'something', 'look', 'dont', 'come', 'burden', 'bullshit', 'either', 'bc', 'making', 'batshit', 'claims', 'first']"
107,lukeobryan he was talking about trump talking about our soldiers,"['lukeobryan', 'talking', 'trump', 'talking', 'soldiers']"
108,malamutemom what did i say that wasnt true,"['malamutemom', 'say', 'wasnt', 'true']"
109,dont fuck up our country you dementia patient,"['dont', 'fuck', 'country', 'dementia', 'patient']"
110,americafirstenergy oh yes he did,"['americafirstenergy', 'oh', 'yes']"
111,what about the real issues at hand what have you to say about those  silence,"['real', 'issues', 'hand', 'say', 'silence']"
112,i think ill be voting for the bleach man thank you though,"['think', 'ill', 'voting', 'bleach', 'man', 'thank', 'though']"
113,do not ban tiktok ,"['ban', 'tiktok']"
114,bro you and your staff tell us lies on social media and tv every single day since january  ,"['bro', 'staff', 'tell', 'us', 'lies', 'social', 'media', 'tv', 'every', 'single', 'day', 'since', 'january']"
115,mightaswellsmile neither does biden ,"['mightaswellsmile', 'neither', 'biden']"
116,cbsir ,['cbsir']
117,all you have are lies the media told you lmao,"['lies', 'media', 'told', 'lmao']"
118,trump more better than you,"['trump', 'better']"
119,madssbryan this would be a lot easier if you would just admit youre wrong the fact is that you cannot provide one name of an individual that was abducted from their home not arrested not detained but actually kidnapped from their home is because it never happened,"['madssbryan', 'would', 'lot', 'easier', 'would', 'admit', 'youre', 'wrong', 'fact', 'provide', 'one', 'name', 'individual', 'abducted', 'home', 'arrested', 'detained', 'actually', 'kidnapped', 'home', 'never', 'happened']"
120,free palestine,"['free', 'palestine']"
121,fuck your new capital gains tax,"['fuck', 'new', 'capital', 'gains', 'tax']"
122,livinlife yeah his son just smokes crack fucks hookers shacks up with his dead brothers wife avoids taxes lies on gun forms throws the gun away in a dumpster next to a school and doesnt get in any legal trouble,"['livinlife', 'yeah', 'son', 'smokes', 'crack', 'fucks', 'hookers', 'shacks', 'dead', 'brothers', 'wife', 'avoids', 'taxes', 'lies', 'gun', 'forms', 'throws', 'gun', 'away', 'dumpster', 'next', 'school', 'doesnt', 'get', 'legal', 'trouble']"
123,isaiahtheeprophet a joke thats all you got punchline were the millions of people who believed his baseless verbal meanderings during the first months of the pandemic offering sunlight ingesting disinfectants an internal cleaning that knocks it right out and hydroxychloroquine later equine dewormer ivermectin who tried it causing some to die,"['isaiahtheeprophet', 'joke', 'thats', 'got', 'punchline', 'millions', 'people', 'believed', 'baseless', 'verbal', 'meanderings', 'first', 'months', 'pandemic', 'offering', 'sunlight', 'ingesting', 'disinfectants', 'internal', 'cleaning', 'knocks', 'right', 'hydroxychloroquine', 'later', 'equine', 'dewormer', 'ivermectin', 'tried', 'causing', 'die']"
124,createdesignbuildgroup lord help you to open your eyes read the data out there why do you think pfizer wanted to hide the prestudied that allowed them to use their vaccine during an emergency pandemic for yrs it wasnt because it was great news if more people did their research and not just sent tge first emotional response we would be in a better situation as i said before look at london studies and japan also why you are there look at japan  treatment source for covid hint its not considered horse paste over there please respond with what you found and we can continue this discussion,"['createdesignbuildgroup', 'lord', 'help', 'open', 'eyes', 'read', 'data', 'think', 'pfizer', 'wanted', 'hide', 'prestudied', 'allowed', 'use', 'vaccine', 'emergency', 'pandemic', 'yrs', 'wasnt', 'great', 'news', 'people', 'research', 'sent', 'tge', 'first', 'emotional', 'response', 'would', 'better', 'situation', 'said', 'look', 'london', 'studies', 'japan', 'also', 'look', 'japan', 'treatment', 'source', 'covid', 'hint', 'considered', 'horse', 'paste', 'please', 'respond', 'found', 'continue', 'discussion']"
125,pepepita so you arent a nd amendment supporter then,"['pepepita', 'arent', 'nd', 'amendment', 'supporter']"
126,mattch its funny how people think the media full of experienced journalists is less trustworthy than a man who lied  times during his presidency,"['mattch', 'funny', 'people', 'think', 'media', 'full', 'experienced', 'journalists', 'less', 'trustworthy', 'man', 'lied', 'times', 'presidency']"
127,sleepy jo step down already,"['sleepy', 'jo', 'step', 'already']"
128, kids used to rub my legs in the pool roaches,"['kids', 'used', 'rub', 'legs', 'pool', 'roaches']"
129,isaiahtheeprophet he said it in a press conference with nasa and i didnt see any indication it was a joke the full thing is on youtube there are two different videos bc he had nasa twice but he said inject disinfectant in all seriousness,"['isaiahtheeprophet', 'said', 'press', 'conference', 'nasa', 'didnt', 'see', 'indication', 'joke', 'full', 'thing', 'youtube', 'two', 'different', 'videos', 'bc', 'nasa', 'twice', 'said', 'inject', 'disinfectant', 'seriousness']"
130,trippingteacher you forgot the emails what about her emails,"['trippingteacher', 'forgot', 'emails', 'emails']"
131,No Comment,"['No', 'Comment']"
132,bidenharrishq ,['bidenharrishq']
133,No Comment,"['No', 'Comment']"
134,as usual from biden and the dumborats all lies ,"['usual', 'biden', 'dumborats', 'lies']"
135,No Comment,"['No', 'Comment']"
136,as much as i hate trump he did not specify bleach he said were looking into injecting disinfectant which is the same thing pretty much lol,"['much', 'hate', 'trump', 'specify', 'bleach', 'said', 'looking', 'injecting', 'disinfectant', 'thing', 'pretty', 'much', 'lol']"
137,vote for the guy who is losing a battle with dementia,"['vote', 'guy', 'losing', 'battle', 'dementia']"
138, orisen not believing the media who the fuck would lol and believing trump are not the only two options lol i bet the media also told you the  number now imagine if they fact checked biden like they do republicans man still cant believe his uncle was eaten by cannibals and that he used to drive an  wheeler who knew,"['orisen', 'believing', 'media', 'fuck', 'would', 'lol', 'believing', 'trump', 'two', 'options', 'lol', 'bet', 'media', 'also', 'told', 'number', 'imagine', 'fact', 'checked', 'biden', 'like', 'republicans', 'man', 'still', 'cant', 'believe', 'uncle', 'eaten', 'cannibals', 'used', 'drive', 'wheeler', 'knew']"
139,he did not,[]
140,realredlion nah he really said it but he was being sarcastic ,"['realredlion', 'nah', 'really', 'said', 'sarcastic']"
141,americafirstenergy why why would anyone spitball about putting bleach into the body with anyone just like looking up at the eclipse without safety googles  yep he did that as well sad but true,"['americafirstenergy', 'would', 'anyone', 'spitball', 'putting', 'bleach', 'body', 'anyone', 'like', 'looking', 'eclipse', 'without', 'safety', 'googles', 'yep', 'well', 'sad', 'true']"
142,drewfromwork he said and you can find it on youtube,"['drewfromwork', 'said', 'find', 'youtube']"
143,chrissiszou biden knows a lot more than the orange clown he also knows to defer to medical experts instead of making a complete fool of himself on national tv,"['chrissiszou', 'biden', 'knows', 'lot', 'orange', 'clown', 'also', 'knows', 'defer', 'medical', 'experts', 'instead', 'making', 'complete', 'fool', 'national', 'tv']"
144,so correct,['correct']
145,nah hes telling the right one,"['nah', 'hes', 'telling', 'right', 'one']"
146,kttexas atleast i dont worship swine trailer trash,"['kttexas', 'atleast', 'dont', 'worship', 'swine', 'trailer', 'trash']"
147,"see if you can find the problem

joe biden has been in office  years

nancy pelosi has been in office  years

chuck schumer has been in office  years

maxine waters has been in office  years 

donald trump was in office  years starting in 

it is laughable that the democrats blame everything on trump for problems they created and they have not solved for decades","['see', 'find', 'problem', 'joe', 'biden', 'office', 'years', 'nancy', 'pelosi', 'office', 'years', 'chuck', 'schumer', 'office', 'years', 'maxine', 'waters', 'office', 'years', 'donald', 'trump', 'office', 'years', 'starting', 'laughable', 'democrats', 'blame', 'everything', 'trump', 'problems', 'created', 'solved', 'decades']"
148,alberta is a whole different bag of beans its a national joke across canada nobody takes albertans seriously,"['alberta', 'whole', 'different', 'bag', 'beans', 'national', 'joke', 'across', 'canada', 'nobody', 'takes', 'albertans', 'seriously']"
149,mightaswellsmile yeah like saying that if u get the covid vaccine you wont get covidnot even to mention all the lies he tella us daily ans forces his staff to tell us but u a  like him so u wont ever understand ,"['mightaswellsmile', 'yeah', 'like', 'saying', 'u', 'get', 'covid', 'vaccine', 'wont', 'get', 'covidnot', 'even', 'mention', 'lies', 'tella', 'us', 'daily', 'ans', 'forces', 'staff', 'tell', 'us', 'u', 'like', 'u', 'wont', 'ever', 'understand']"
150,wow just wow yet another blatant lie from your team are you purposefully trying to figure out how many votes youll have to fake again to win do you have a fancy algorithm sorting thru these comments youll probably need million votes to win this year quit flooding our country with foreign men who rpe and murdr and stop changing laws so they can vote and stop giving them our  your destruction of america is truly next level ,"['wow', 'wow', 'yet', 'another', 'blatant', 'lie', 'team', 'purposefully', 'trying', 'figure', 'many', 'votes', 'youll', 'fake', 'win', 'fancy', 'algorithm', 'sorting', 'thru', 'comments', 'youll', 'probably', 'need', 'million', 'votes', 'win', 'year', 'quit', 'flooding', 'country', 'foreign', 'men', 'rpe', 'murdr', 'stop', 'changing', 'laws', 'vote', 'stop', 'giving', 'destruction', 'america', 'truly', 'next', 'level']"
151,dont listen to a guy who can barely remember anything sleepy joe its time to retire,"['dont', 'listen', 'guy', 'barely', 'remember', 'anything', 'sleepy', 'joe', 'time', 'retire']"
152,the rap beef of the century guys,"['rap', 'beef', 'century', 'guys']"
153,mama yes my sq ft home screams trailer maybe seek some mental health help and maybe a proper diet less carbs less cookies  i do fitness competitions so if you need help let me know start with not eating your emotions ,"['mama', 'yes', 'sq', 'ft', 'home', 'screams', 'trailer', 'maybe', 'seek', 'mental', 'health', 'help', 'maybe', 'proper', 'diet', 'less', 'carbs', 'less', 'cookies', 'fitness', 'competitions', 'need', 'help', 'let', 'know', 'start', 'eating', 'emotions']"
154,americafirstenergy actually he did but the maga nuts only see what they want to see and here but know this the world is laughing at u,"['americafirstenergy', 'actually', 'maga', 'nuts', 'see', 'want', 'see', 'know', 'world', 'laughing', 'u']"
155,andre oh they do gotta admire their full commitment to their delusion,"['andre', 'oh', 'got', 'ta', 'admire', 'full', 'commitment', 'delusion']"
156,anyone who voted for biden should just drink a whole gallon of it,"['anyone', 'voted', 'biden', 'drink', 'whole', 'gallon']"
157,mattch the coverage of trump is not crazy because they hate him ill admit they do but because hes just that retarded of a man id like to know where you get your news if it is x twitter im done talking to you,"['mattch', 'coverage', 'trump', 'crazy', 'hate', 'ill', 'admit', 'hes', 'retarded', 'man', 'id', 'like', 'know', 'get', 'news', 'x', 'twitter', 'im', 'done', 'talking']"
158,who said we shouldnt inject bleach,"['said', 'shouldnt', 'inject', 'bleach']"
159,he give you fund to protect family,"['give', 'fund', 'protect', 'family']"
160,biden injects pain into american citizens ill take the bleach,"['biden', 'injects', 'pain', 'american', 'citizens', 'ill', 'take', 'bleach']"
161,vote for biden,"['vote', 'biden']"
162,mrcarlitoswayy thats the only response you got when someone shuts your poor comment downnext,"['mrcarlitoswayy', 'thats', 'response', 'got', 'someone', 'shuts', 'poor', 'comment', 'downnext']"
163,kttexas i could snap you like a twig little girl ,"['kttexas', 'could', 'snap', 'like', 'twig', 'little', 'girl']"
164,mama by sitting on me maybe ,"['mama', 'sitting', 'maybe']"
165,andre do die hard biden supporters enjoy the hundreds because none of that happened under trump and thats something that cannot be argued because we were not at war in ukraine russia  palestine or israel while trump was in office,"['andre', 'die', 'hard', 'biden', 'supporters', 'enjoy', 'hundreds', 'none', 'happened', 'trump', 'thats', 'something', 'argued', 'war', 'ukraine', 'russia', 'palestine', 'israel', 'trump', 'office']"
166,mama let me guess you are well over lbs ,"['mama', 'let', 'guess', 'well', 'lbs']"
167,mama i can dead lift your weight ,"['mama', 'dead', 'lift', 'weight']"
168,voodeedoo which money,"['voodeedoo', 'money']"
169,for those fox news trumpers on this thread who say he never said it httpsyoutubepaauilxavqfeatureshared,"['fox', 'news', 'trumpers', 'thread', 'say', 'never', 'said', 'httpsyoutubepaauilxavqfeatureshared']"
170,chrissiszou im not actually a huge biden fan tbh can you show some proof though,"['chrissiszou', 'im', 'actually', 'huge', 'biden', 'fan', 'tbh', 'show', 'proof', 'though']"
171,hearsay about trump saying soldiers are suckers and losers are better than kanye memes thanks for demonstrating how fucking retarded you are assumptions make an ass out of you its amazing how you morons love to out yourselves,"['hearsay', 'trump', 'saying', 'soldiers', 'suckers', 'losers', 'better', 'kanye', 'memes', 'thanks', 'demonstrating', 'fucking', 'retarded', 'assumptions', 'make', 'ass', 'amazing', 'morons', 'love']"
172,kareemabdelazez time to retire,"['kareemabdelazez', 'time', 'retire']"
173,dont highlight his goofs and dumb comments this is why people love him,"['dont', 'highlight', 'goofs', 'dumb', 'comments', 'people', 'love']"
174,youre such a monumental idiot dont inject bleach hardy har har we all know what he said you look like a tool when you post crap like this grow up and be a freaking president and actually do something for this country rather than pander to him and his crowd which is waaay bigger than i think you think it is,"['youre', 'monumental', 'idiot', 'dont', 'inject', 'bleach', 'hardy', 'har', 'har', 'know', 'said', 'look', 'like', 'tool', 'post', 'crap', 'like', 'grow', 'freaking', 'president', 'actually', 'something', 'country', 'rather', 'pander', 'crowd', 'waaay', 'bigger', 'think', 'think']"
175,why is your office not taking calls today,"['office', 'taking', 'calls', 'today']"
176,all you politicians are crooked  and thats you as well joe,"['politicians', 'crooked', 'thats', 'well', 'joe']"
177,No Comment,"['No', 'Comment']"
178,mightaswellsmile you dont need proof listen to them every daybut not on  cnn or msnbc etc since they cover up for him lots of info online look it up destroying this country day by day,"['mightaswellsmile', 'dont', 'need', 'proof', 'listen', 'every', 'daybut', 'cnn', 'msnbc', 'etc', 'since', 'cover', 'lots', 'info', 'online', 'look', 'destroying', 'country', 'day', 'day']"
179,christianjosephmichael amen to that ,"['christianjosephmichael', 'amen']"
180,lukeobryan no i completely disagree with the biden administrations handling of this awful conflict i just wish ppl would comment something actually related to the post,"['lukeobryan', 'completely', 'disagree', 'biden', 'administrations', 'handling', 'awful', 'conflict', 'wish', 'ppl', 'would', 'comment', 'something', 'actually', 'related', 'post']"
181,your banning tiktok we are not voting for you,"['banning', 'tiktok', 'voting']"
182,bleach worked for me im still here,"['bleach', 'worked', 'im', 'still']"
183,misteropossum post the quote where he said to inject bleach,"['misteropossum', 'post', 'quote', 'said', 'inject', 'bleach']"
184,brunoincali still cant find the quote where he said to inject bleach,"['brunoincali', 'still', 'cant', 'find', 'quote', 'said', 'inject', 'bleach']"
185,isaiahtheeprophet he was completely serious when he said it and even if he later claimed it was a joke it was highly inappropriate given the circumstances,"['isaiahtheeprophet', 'completely', 'serious', 'said', 'even', 'later', 'claimed', 'joke', 'highly', 'inappropriate', 'given', 'circumstances']"
186,too funny ,['funny']
187,dont start wars,"['dont', 'start', 'wars']"
188,karlbastian in this particular section of the quote he is talking about disinfectant not light,"['karlbastian', 'particular', 'section', 'quote', 'talking', 'disinfectant', 'light']"
189,americafirstenergy no need to research if you watched it live,"['americafirstenergy', 'need', 'research', 'watched', 'live']"
190,karlbastian he said inject disinfectant bleach is a type of disinfectant,"['karlbastian', 'said', 'inject', 'disinfectant', 'bleach', 'type', 'disinfectant']"
191,yabadabadadadamean he said disinfectant he did not specify what kind,"['yabadabadadadamean', 'said', 'disinfectant', 'specify', 'kind']"
192,stupid is as stupid does,"['stupid', 'stupid']"
193,i remember how horrified fauci looked when he said it,"['remember', 'horrified', 'fauci', 'looked', 'said']"
194,how can i find any humor when youre funding israel and banning social media heart broken by democratic party lately,"['find', 'humor', 'youre', 'funding', 'israel', 'banning', 'social', 'media', 'heart', 'broken', 'democratic', 'party', 'lately']"
195,rumpy is such an idiot,"['rumpy', 'idiot']"
